Ulke,Cinsiyet,Tedavi_Turu,Fiyat_(Eur),Basvuru_Kanalı,Bizim_ilk_Tepki_Suremiz_(sn),Musterinin_ilk_Tepki_Suresi_(sn),Musterinin_ilk_Mesaj_Uzunlugu_(harf_sayisi),Satis_Oldu_Mu
Almanya,Kadın,Diş,2500,Form,100,150,20,Hayır
Almanya,Kadın,Diş,2500,Form,100,200,30,Evet
Almanya,Kadın,Diş,2500,Whatsapp,100,500,30,Hayır
Almanya,Erkek,Diş,2500,Form,100,150,80,Evet
Almanya,Erkek,Diş,2500,Whatsapp,100,200,120,Hayır
Almanya,Erkek,Diş,2500,Whatsapp,100,500,120,Hayır
Almanya,Kadın,Diş,2500,Form,100,150,20,Hayır
Almanya,Kadın,Diş,2500,Form,100,200,30,Hayır
Almanya,Kadın,Diş,2500,Whatsapp,100,500,30,Hayır
Almanya,Erkek,Diş,2500,Form,100,150,80,Evet
Almanya,Erkek,Diş,2500,Whatsapp,100,200,120,Hayır
Almanya,Erkek,Diş,2500,Whatsapp,100,500,120,Hayır
Almanya,Kadın,Diş,2500,Form,100,150,20,Hayır
Almanya,Kadın,Diş,2500,Form,100,200,30,Hayır
Almanya,Kadın,Diş,2500,Whatsapp,100,500,30,Hayır
Almanya,Erkek,Diş,2500,Form,100,150,80,Evet
Almanya,Erkek,Diş,2500,Whatsapp,100,200,120,Hayır
Almanya,Erkek,Diş,2500,Whatsapp,100,500,120,Hayır
Almanya,Kadın,Diş,2500,Form,100,150,20,Hayır
Almanya,Kadın,Diş,2500,Form,100,200,30,Hayır
Almanya,Kadın,Diş,2500,Whatsapp,100,500,30,Hayır
Almanya,Erkek,Diş,2500,Form,100,150,80,Evet
Almanya,Erkek,Diş,2500,Whatsapp,100,200,120,Hayır
Almanya,Erkek,Diş,2500,Whatsapp,100,500,120,Hayır
Amerika,Kadın,Diş,2500,Form,100,150,20,Hayır
Amerika,Kadın,Diş,2500,Form,100,200,30,Hayır
Amerika,Kadın,Diş,2500,Whatsapp,100,500,30,Hayır
Amerika,Erkek,Diş,2500,Form,100,150,80,Evet
Amerika,Erkek,Diş,2500,Whatsapp,100,200,120,Hayır
Amerika,Erkek,Diş,2500,Whatsapp,100,500,120,Hayır
Amerika,Kadın,Diş,2500,Form,100,150,20,Hayır
Amerika,Kadın,Diş,2500,Form,100,200,30,Hayır
Amerika,Kadın,Diş,2500,Whatsapp,100,500,30,Hayır
Amerika,Erkek,Diş,2500,Form,100,150,80,Evet
Amerika,Erkek,Diş,2500,Whatsapp,100,200,120,Hayır
Amerika,Erkek,Diş,2500,Whatsapp,100,500,120,Hayır
Amerika,Kadın,Diş,2500,Form,100,150,20,Hayır
Amerika,Kadın,Diş,2500,Form,100,200,30,Hayır
Amerika,Kadın,Diş,2500,Whatsapp,100,500,30,Hayır
Amerika,Erkek,Diş,2500,Form,100,150,80,Evet
Amerika,Erkek,Diş,2500,Whatsapp,100,200,120,Hayır
Amerika,Erkek,Diş,2500,Whatsapp,100,500,120,Hayır
Amerika,Kadın,Diş,2500,Form,100,150,20,Hayır
Amerika,Kadın,Diş,2500,Form,100,200,30,Hayır
Amerika,Kadın,Diş,2500,Whatsapp,100,500,30,Hayır
Amerika,Erkek,Diş,2500,Form,100,150,80,Evet
Amerika,Erkek,Diş,2500,Whatsapp,100,200,120,Hayır
Amerika,Erkek,Diş,2500,Whatsapp,100,500,120,Hayır
Fransa,Kadın,Diş,2500,Form,100,150,20,Hayır
Fransa,Kadın,Diş,2500,Form,100,200,30,Hayır
Fransa,Kadın,Diş,2500,Whatsapp,100,500,30,Hayır
Fransa,Erkek,Diş,2500,Form,100,150,80,Evet
